DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
15-Oct-25,EQ,"1,957.20","1,976.00","1,951.60","1,946.60","1,967.00","1,968.50","1,965.08","2,045.80","1,511.00",3447352,"6,77,43,13,245.80",132066
14-Oct-25,EQ,"1,964.00","1,964.00","1,939.20","1,954.90","1,948.20","1,946.60","1,948.36","2,045.80","1,511.00",4454239,"8,67,84,47,974.60",115211
13-Oct-25,EQ,"1,937.90","1,965.90","1,936.00","1,939.90","1,955.00","1,954.90","1,955.22","2,045.80","1,511.00",3672419,"7,18,03,72,108.10",134124
10-Oct-25,EQ,"1,937.00","1,947.60","1,935.40","1,942.00","1,940.00","1,939.90","1,940.42","2,045.80","1,511.00",2512581,"4,87,54,55,292.60",100319
09-Oct-25,EQ,"1,945.00","1,948.80","1,931.30","1,943.50","1,941.00","1,942.00","1,940.57","2,045.80","1,511.00",3945737,"7,65,69,69,690.20",123955
08-Oct-25,EQ,"1,929.00","1,962.60","1,927.60","1,929.00","1,939.00","1,943.50","1,945.68","2,045.80","1,511.00",4957406,"9,64,55,07,545.20",189526
07-Oct-25,EQ,"1,900.00","1,946.00","1,900.00","1,903.10","1,928.80","1,929.00","1,928.23","2,045.80","1,511.00",5713060,"11,01,60,84,010.00",176001
06-Oct-25,EQ,"1,892.60","1,907.00","1,887.50","1,896.70","1,901.90","1,903.10","1,898.12","2,045.80","1,511.00",2809218,"5,33,22,30,593.90",125866
03-Oct-25,EQ,"1,851.20","1,900.30","1,848.10","1,867.60","1,896.90","1,896.70","1,880.95","2,045.80","1,511.00",5828332,"10,96,27,76,533.00",177774
01-Oct-25,EQ,"1,868.00","1,877.00","1,855.90","1,878.40","1,869.50","1,867.60","1,866.91","2,045.80","1,511.00",5675393,"10,59,54,21,987.80",158923
30-Sep-25,EQ,"1,896.00","1,907.60","1,875.20","1,902.20","1,883.00","1,878.40","1,886.43","2,045.80","1,511.00",5945625,"11,21,60,08,469.80",191554
29-Sep-25,EQ,"1,928.00","1,928.00","1,897.50","1,916.60","1,906.50","1,902.20","1,908.52","2,045.80","1,511.00",5072608,"9,68,11,98,593.50",152642
26-Sep-25,EQ,"1,931.10","1,944.70","1,911.90","1,935.60","1,915.40","1,916.60","1,922.81","2,045.80","1,511.00",3239306,"6,22,85,84,260.70",139233
25-Sep-25,EQ,"1,930.00","1,950.00","1,928.80","1,931.10","1,935.00","1,935.60","1,940.12","2,045.80","1,511.00",7133365,"13,83,95,59,461.20",157177
24-Sep-25,EQ,"1,926.00","1,937.30","1,918.80","1,938.70","1,936.00","1,931.10","1,927.43","2,045.80","1,511.00",5237977,"10,09,58,35,192.10",117702
23-Sep-25,EQ,"1,950.00","1,955.00","1,930.10","1,956.20","1,939.50","1,938.70","1,941.04","2,045.80","1,511.00",4348633,"8,44,08,72,959.40",112057
22-Sep-25,EQ,"1,954.00","1,966.00","1,944.00","1,962.40","1,956.00","1,956.20","1,956.29","2,045.80","1,511.00",4469137,"8,74,29,10,725.50",112539
